OBJECTID,temperature_mean,temperature_median,temperature_max,temperature_min,FORMAL_EN,NAME_EN,Country Code,temperature_mean_Maize,temperature_mean_Rice,temperature_mean_Sorghum,temperature_mean_Wheat
1,26.23812808,26.88,30.82,15.2,Republic of Indonesia,Indonesia,101,26.88,26.88,26.88,26.88
2,25.73752381,26.19,28.62,21.06,Malaysia,Malaysia,131,26.19,26.19,26.19,26.19
3,6.986746575,6.575,28.51,-11.78,Republic of Chile,Chile,40,6.575,6.575,6.575,6.575
4,20.84082192,25.36,32.75,-12.02,Plurinational State of Bolivia,Bolivia,19,25.36,25.36,25.36,25.36
5,20.82443925,24.855,37.17,0.07,Republic of Peru,Peru,170,24.855,24.855,24.855,24.855
6,13.91282918,15.82,26.93,-10.92,Argentine Republic,Argentina,9,15.82,15.82,15.82,15.82
7,20.4775,20.59,21.49,19.24,Republic of Cyprus,Cyprus,50,20.59,20.59,20.59,20.59
8,24.56567766,26.4,33.75,-20.39,Republic of India,India,100,26.4,26.4,26.4,26.4
9,7.235734174,7.38,27.59,-22.67,People's Republic of China,People's Republic of China,351,6.58,16.49,15.24,15.46
10,22.96857143,22.8,24.56,21.69,State of Israel,Israel,105,22.8,22.8,22.8,22.8
11,22.35333333,21.62,24.09,21.35,West Bank and Gaza,Palestine,299,21.62,21.62,21.62,21.62
12,18.1675,18.87,21.37,13.56,Lebanese Republic,Lebanon,121,18.87,18.87,18.87,18.87
13,23.90057221,24.22,34.8,9.94,Federal Democratic Republic of Ethiopia,Ethiopia,238,24.22,24.22,24.22,24.22
15,29.37497653,29.14,37.17,23.53,Federal Republic of Somalia,Somalia,201,29.14,29.14,29.14,29.14
16,25.46026738,25.65,35.39,13.4,Republic of Kenya,Kenya,114,25.65,25.65,25.65,25.65
17,20.54626168,24.31,29.97,-19.22,Islamic Republic of Pakistan,Pakistan,165,24.31,24.31,24.31,24.31
18,23.16307692,23.9,29.68,17.05,Republic of Malawi,Malawi,130,23.9,23.9,23.9,23.9
19,22.58366337,22.55,27.03,16.25,United Republic of Tanzania,Tanzania,215,22.55,22.55,22.55,22.55
20,19.87616438,19.67,23.95,14.45,Syrian Arab Republic,Syria,212,19.67,19.67,19.67,19.67
21,13.84141844,12.72,26.35,4.34,French Republic,France,68,12.72,12.72,12.72,12.72
22,25.93458333,25.875,27.81,23.69,Republic of Suriname,Suriname,207,25.875,25.875,25.875,25.875
23,27.1438806,26.83,32.12,20.08,Co-operative Republic of Guyana,Guyana,91,26.83,26.83,26.83,26.83
24,12.29170732,12.19,17.35,9.56,Republic of Korea,South Korea,117,12.19,12.19,12.19,12.19
25,6.781276596,7.69,11.53,-0.82,Democratic People's Republic of Korea,North Korea,116,7.69,7.69,7.69,7.69
26,16.45864198,17.085,23.76,6.96,Kingdom of Morocco,Morocco,143,17.085,17.085,17.085,17.085
27,24.006,24.39,26.95,18.06,Republic of Costa Rica,Costa Rica,48,24.39,24.39,24.39,24.39
28,25.18042553,25.18,27.66,22.18,Republic of Nicaragua,Nicaragua,157,25.18,25.18,25.18,25.18
29,25.32754545,25.32,27.3,23.2,Republic of the Congo,Republic of the Congo,46,25.32,25.32,25.32,25.32
30,25.03473203,25.2,28.03,14.95,Democratic Republic of the Congo,Democratic Republic of the Congo,250,25.2,25.2,25.2,25.2
31,2.920769231,1.64,16.88,-9.93,Kingdom of Bhutan,Bhutan,18,1.64,1.64,1.64,1.64
32,10.07312081,9.655,13.74,6.99,Ukraine,Ukraine,230,9.655,9.655,9.655,9.655
33,8.351666667,8.26,9.85,7,Republic of Belarus,Belarus,57,8.26,8.26,8.26,8.26
34,20.18964789,20.205,25.04,13.77,Republic of Namibia,Namibia,147,20.205,20.205,20.205,20.205
35,18.01660754,17.97,26.45,10.23,Republic of South Africa,South Africa,202,17.97,17.97,17.97,17.97
38,26.78045045,26.88,29.37,21.86,Sultanate of Oman,Oman,221,26.88,26.88,26.88,26.88
39,13.64489247,14.02,20.99,0.95,Republic of Uzbekistan,Uzbekistan,235,14.02,14.02,14.02,14.02
40,6.377426192,6.1,16.32,-17.02,Republic of Kazakhstan,Kazakhstan,108,6.1,6.1,6.1,6.1
41,0.327368421,-1.56,19.55,-13.3,Republic of Tajikistan,Tajikistan,208,-1.56,-1.56,-1.56,-1.56
42,8.274210526,8.355,8.87,7.36,Republic of Lithuania,Lithuania,126,8.355,8.355,8.355,8.355
43,25.69735336,26.475,33.57,14.81,Federative Republic of Brazil,Brazil,21,23.7,28.08,19.53,17.27
44,17.911,17.855,19.52,16.88,Oriental Republic of Uruguay,Uruguay,234,17.855,17.855,17.855,17.855
45,0.741538462,0.76,8.94,-8.7,Mongolia,Mongolia,141,0.76,0.76,0.76,0.76
46,-4.156959309,-4.45,14.75,-17.18,Russian Federation,Russia,185,-4.45,-4.45,-4.45,-4.45
47,9.912368421,9.83,12.13,8.2,Czech Republic,Czech Republic,167,9.83,9.83,9.83,9.83
48,10.77227513,10.83,12.65,6.55,Federal Republic of Germany,Germany,79,10.83,10.83,10.83,10.83
49,7.043076923,7.02,7.9,6.42,Republic of Estonia,Estonia,63,7.02,7.02,7.02,7.02
50,7.626285714,7.55,8.74,6.76,Republic of Latvia,Latvia,119,7.55,7.55,7.55,7.55
51,0.961805158,0.48,8.98,-6.41,Kingdom of Norway,Norway,162,0.48,0.48,0.48,0.48
52,3.429645161,3.1,10.1,-5.7,Kingdom of Sweden,Sweden,210,3.1,3.1,3.1,3.1
53,3.539311741,4.16,8.72,-1.93,Republic of Finland,Finland,67,4.16,4.16,4.16,4.16
54,24.58736842,24.345,28.62,19.54,Socialist Republic of Vietnam,Vietnam,237,24.345,24.345,24.345,24.345
55,27.42793651,27.68,28.52,25.05,Kingdom of Cambodia,Cambodia,115,27.68,27.68,27.68,27.68
56,9.85,9.85,9.85,9.85,Grand Duchy of Luxembourg,Luxembourg,256,9.85,9.85,9.85,9.85
57,29.77478261,29.87,31.15,27.55,United Arab Emirates,United Arab Emirates,225,29.87,29.87,29.87,29.87
58,11.17352941,11.36,12.37,9.35,Kingdom of Belgium,Belgium,255,11.36,11.36,11.36,11.36
59,10.86933333,9.88,18.67,2.94,Georgia,Georgia,73,9.88,9.88,9.88,9.88
60,11.60818182,11.33,15.25,8.93,Former Yugoslav Republic of Macedonia,Republic of Macedonia,154,11.33,11.33,11.33,11.33
61,13.35416667,11.925,17.65,10.01,Republic of Albania,Albania,3,11.925,11.925,11.925,11.925
62,14.86555556,15.295,19.9,6.51,Republic of Azerbaijan,Azerbaijan,52,15.295,15.295,15.295,15.295
64,13.20418462,13.15,22.61,3.65,Republic of Turkey,Turkey,223,13.15,13.15,13.15,13.15
65,14.28824885,14.14,24.53,7.75,Kingdom of Spain,Spain,203,14.14,14.14,14.14,14.14
66,23.96106667,23.71,27.76,20.57,Lao People's Democratic Republic,Laos,120,23.71,23.71,23.71,23.71
