OBJECTID,rainfall_mean,rainfall_median,rainfall_max,rainfall_min,FORMAL_EN,NAME_EN,Country Code,Maize_rainfall_mean,Rice_rainfall_mean,Sorghum_rainfall_mean,Wheat_rainfall_mean
1,2831.136721,2730.9,5763.3,1070.8,Republic of Indonesia,Indonesia,101,2730.9,2730.9,2730.9,2730.9
2,3186.666667,3022.9,4889.3,2002.7,Malaysia,Malaysia,131,3022.9,3022.9,3022.9,3022.9
3,812.9496644,523.7,3518.3,18.8,Republic of Chile,Chile,40,523.7,523.7,523.7,523.7
4,1332.554521,1175.9,4620.9,107.8,Plurinational State of Bolivia,Bolivia,19,1175.9,1175.9,1175.9,1175.9
5,1590.485748,1556.3,5273.9,6,Republic of Peru,Peru,170,1556.3,1556.3,1556.3,1556.3
6,649.880694,577.3,2347.6,114.2,Argentine Republic,Argentina,9,577.3,577.3,577.3,577.3
7,514.825,517,555.2,470.1,Republic of Cyprus,Cyprus,50,517,517,517,517
8,1053.571703,875.6,4785.2,63.3,Republic of India,India,100,875.6,875.6,875.6,875.6
9,629.273575,528.8,2482.7,21.2,People's Republic of China,People's Republic of China,351,376.4,1158.4,462,478.7
10,310.6,372.6,578.1,117.2,State of Israel,Israel,105,372.6,372.6,372.6,372.6
11,450.6,401.1,578.1,372.6,West Bank and Gaza,Palestine,299,401.1,401.1,401.1,401.1
12,803.7,769.2,964.5,711.9,Lebanese Republic,Lebanon,121,769.2,769.2,769.2,769.2
13,901.2168937,899.2,1898.3,130.3,Federal Democratic Republic of Ethiopia,Ethiopia,238,899.2,899.2,899.2,899.2
15,279.3474178,204.4,1049.9,22,Federal Republic of Somalia,Somalia,201,204.4,204.4,204.4,204.4
16,867.3352941,843.7,1860.9,365.4,Republic of Kenya,Kenya,114,843.7,843.7,843.7,843.7
17,232.0495327,113.7,1443.3,4.3,Islamic Republic of Pakistan,Pakistan,165,113.7,113.7,113.7,113.7
18,1203.030769,1156.9,1677.7,785.5,Republic of Malawi,Malawi,130,1156.9,1156.9,1156.9,1156.9
19,1201.339414,1195.3,1661.2,602.9,United Republic of Tanzania,Tanzania,215,1195.3,1195.3,1195.3,1195.3
20,433.6068493,385.6,1074.4,103.1,Syrian Arab Republic,Syria,212,385.6,385.6,385.6,385.6
21,1049.984043,879.8,3422.1,618.8,French Republic,France,68,879.8,879.8,879.8,879.8
22,2138.75625,2254,2419.6,1732.7,Republic of Suriname,Suriname,207,2254,2254,2254,2254
23,1886.867164,1810.1,2810.1,1268,Co-operative Republic of Guyana,Guyana,91,1810.1,1810.1,1810.1,1810.1
24,1334.731707,1335.8,1743.9,1215.6,Republic of Korea,South Korea,117,1335.8,1335.8,1335.8,1335.8
25,988.9425532,973.5,1355.6,745.8,Democratic People's Republic of Korea,North Korea,116,973.5,973.5,973.5,973.5
26,393.7993827,324.7,1008.9,76.7,Kingdom of Morocco,Morocco,143,324.7,324.7,324.7,324.7
27,3062.973333,2725.3,4310,1636.9,Republic of Costa Rica,Costa Rica,48,2725.3,2725.3,2725.3,2725.3
28,1917.312766,1930,4010.7,1211.1,Republic of Nicaragua,Nicaragua,157,1930,1930,1930,1930
29,1800.003636,1772.2,2191.2,1405.1,Republic of the Congo,Republic of the Congo,46,1772.2,1772.2,1772.2,1772.2
30,1694.966536,1682.7,2537.4,796.1,Democratic Republic of the Congo,Democratic Republic of the Congo,250,1682.7,1682.7,1682.7,1682.7
31,1170.630769,1039.3,2883.6,894.7,Kingdom of Bhutan,Bhutan,18,1039.3,1039.3,1039.3,1039.3
32,572.0704698,560.9,1006.5,413.3,Ukraine,Ukraine,230,560.9,560.9,560.9,560.9
33,592.1570175,595.75,653.8,504,Republic of Belarus,Belarus,57,595.75,595.75,595.75,595.75
34,204.6440141,181,972.1,1,Republic of Namibia,Namibia,147,181,181,181,181
35,371.1159645,351.6,989.9,37.2,Republic of South Africa,South Africa,202,351.6,351.6,351.6,351.6
38,105.2875,47.3,307.5,8,Sultanate of Oman,Oman,221,47.3,47.3,47.3,47.3
39,165.721134,132.5,633.6,73.9,Republic of Uzbekistan,Uzbekistan,235,132.5,132.5,132.5,132.5
40,270.8946375,255.8,700.4,74.6,Republic of Kazakhstan,Kazakhstan,108,255.8,255.8,255.8,255.8
