Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GC","Cropland","3","Albania","5026","Area","6727","Cropland organic soils","2017","2017","ha","3109.052","Fc","Calculated data"
"GC","Cropland","7","Angola","5026","Area","6727","Cropland organic soils","2017","2017","ha","5546.6346","Fc","Calculated data"
"GC","Cropland","9","Argentina","5026","Area","6727","Cropland organic soils","2017","2017","ha","27954.1637","Fc","Calculated data"
"GC","Cropland","10","Australia","5026","Area","6727","Cropland organic soils","2017","2017","ha","52898.8263","Fc","Calculated data"
"GC","Cropland","11","Austria","5026","Area","6727","Cropland organic soils","2017","2017","ha","2626.2094","Fc","Calculated data"
"GC","Cropland","16","Bangladesh","5026","Area","6727","Cropland organic soils","2017","2017","ha","289326.5997","Fc","Calculated data"
"GC","Cropland","57","Belarus","5026","Area","6727","Cropland organic soils","2017","2017","ha","1191747.2081","Fc","Calculated data"
"GC","Cropland","255","Belgium","5026","Area","6727","Cropland organic soils","2017","2017","ha","4537.5746","Fc","Calculated data"
"GC","Cropland","23","Belize","5026","Area","6727","Cropland organic soils","2017","2017","ha","1938.9063","Fc","Calculated data"
"GC","Cropland","80","Bosnia and Herzegovina","5026","Area","6727","Cropland organic soils","2017","2017","ha","1681.345","Fc","Calculated data"
"GC","Cropland","20","Botswana","5026","Area","6727","Cropland organic soils","2017","2017","ha","11050.283","Fc","Calculated data"
"GC","Cropland","21","Brazil","5026","Area","6727","Cropland organic soils","2017","2017","ha","930.384","Fc","Calculated data"
"GC","Cropland","26","Brunei Darussalam","5026","Area","6727","Cropland organic soils","2017","2017","ha","5234.6255","Fc","Calculated data"
"GC","Cropland","27","Bulgaria","5026","Area","6727","Cropland organic soils","2017","2017","ha","31870.4925","Fc","Calculated data"
"GC","Cropland","29","Burundi","5026","Area","6727","Cropland organic soils","2017","2017","ha","42354.3419","Fc","Calculated data"
"GC","Cropland","32","Cameroon","5026","Area","6727","Cropland organic soils","2017","2017","ha","27938.4705","Fc","Calculated data"
"GC","Cropland","33","Canada","5026","Area","6727","Cropland organic soils","2017","2017","ha","1073420.5732","Fc","Calculated data"
"GC","Cropland","37","Central African Republic","5026","Area","6727","Cropland organic soils","2017","2017","ha","841.9778","Fc","Calculated data"
"GC","Cropland","40","Chile","5026","Area","6727","Cropland organic soils","2017","2017","ha","22368.0934","Fc","Calculated data"
"GC","Cropland","351","China","5026","Area","6727","Cropland organic soils","2017","2017","ha","85737.4055","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GC","Cropland","41","China, mainland","5026","Area","6727","Cropland organic soils","2017","2017","ha","85737.4055","Fc","Calculated data"
"GC","Cropland","44","Colombia","5026","Area","6727","Cropland organic soils","2017","2017","ha","8734.1551","Fc","Calculated data"
"GC","Cropland","46","Congo","5026","Area","6727","Cropland organic soils","2017","2017","ha","48763.6278","Fc","Calculated data"
"GC","Cropland","48","Costa Rica","5026","Area","6727","Cropland organic soils","2017","2017","ha","1629.2234","Fc","Calculated data"
