Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Land_Value,Flag,Flag Description
GC,Cropland,3,Albania,5026,Area,6727,Cropland organic soils,2018,2018,ha,3050.629,Fc,Calculated data
GC,Cropland,7,Angola,5026,Area,6727,Cropland organic soils,2018,2018,ha,5471.1183,Fc,Calculated data
GC,Cropland,9,Argentina,5026,Area,6727,Cropland organic soils,2018,2018,ha,27913.0415,Fc,Calculated data
GC,Cropland,10,Australia,5026,Area,6727,Cropland organic soils,2018,2018,ha,52921.9173,Fc,Calculated data
GC,Cropland,11,Austria,5026,Area,6727,Cropland organic soils,2018,2018,ha,2626.2094,Fc,Calculated data
GC,Cropland,16,Bangladesh,5026,Area,6727,Cropland organic soils,2018,2018,ha,289098.1469,Fc,Calculated data
GC,Cropland,57,Belarus,5026,Area,6727,Cropland organic soils,2018,2018,ha,1187936.713,Fc,Calculated data
GC,Cropland,255,Belgium,5026,Area,6727,Cropland organic soils,2018,2018,ha,4534.6211,Fc,Calculated data
GC,Cropland,23,Belize,5026,Area,6727,Cropland organic soils,2018,2018,ha,1965.2935,Fc,Calculated data
GC,Cropland,80,Bosnia and Herzegovina,5026,Area,6727,Cropland organic soils,2018,2018,ha,1681.345,Fc,Calculated data
GC,Cropland,20,Botswana,5026,Area,6727,Cropland organic soils,2018,2018,ha,11050.283,Fc,Calculated data
GC,Cropland,21,Brazil,5026,Area,6727,Cropland organic soils,2018,2018,ha,930.384,Fc,Calculated data
GC,Cropland,26,Brunei Darussalam,5026,Area,6727,Cropland organic soils,2018,2018,ha,5310.0895,Fc,Calculated data
GC,Cropland,27,Bulgaria,5026,Area,6727,Cropland organic soils,2018,2018,ha,31767.2104,Fc,Calculated data
GC,Cropland,29,Burundi,5026,Area,6727,Cropland organic soils,2018,2018,ha,42148.3162,Fc,Calculated data
GC,Cropland,32,Cameroon,5026,Area,6727,Cropland organic soils,2018,2018,ha,27680.1013,Fc,Calculated data
GC,Cropland,33,Canada,5026,Area,6727,Cropland organic soils,2018,2018,ha,1080678.393,Fc,Calculated data
GC,Cropland,37,Central African Republic,5026,Area,6727,Cropland organic soils,2018,2018,ha,849.2785,Fc,Calculated data
GC,Cropland,40,Chile,5026,Area,6727,Cropland organic soils,2018,2018,ha,22894.4104,Fc,Calculated data
GC,Cropland,351,China,5026,Area,6727,Cropland organic soils,2018,2018,ha,85737.4055,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GC,Cropland,44,Colombia,5026,Area,6727,Cropland organic soils,2018,2018,ha,8734.1551,Fc,Calculated data
GC,Cropland,46,Congo,5026,Area,6727,Cropland organic soils,2018,2018,ha,49114.1484,Fc,Calculated data
