Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"ESB","Soil nutrient budget","2","Afghanistan","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","17.7972","Fc","Calculated data"
"ESB","Soil nutrient budget","3","Albania","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","56.6993","Fc","Calculated data"
"ESB","Soil nutrient budget","4","Algeria","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","8.275","Fc","Calculated data"
"ESB","Soil nutrient budget","7","Angola","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","5.1227","Fc","Calculated data"
"ESB","Soil nutrient budget","8","Antigua and Barbuda","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","1.796","Fc","Calculated data"
"ESB","Soil nutrient budget","9","Argentina","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","24.2747","Fc","Calculated data"
"ESB","Soil nutrient budget","1","Armenia","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","178.7469","Fc","Calculated data"
"ESB","Soil nutrient budget","10","Australia","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","48.0726","Fc","Calculated data"
"ESB","Soil nutrient budget","11","Austria","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","81.9216","Fc","Calculated data"
"ESB","Soil nutrient budget","52","Azerbaijan","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","30.6193","Fc","Calculated data"
"ESB","Soil nutrient budget","12","Bahamas","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","55.2467","Fc","Calculated data"
"ESB","Soil nutrient budget","16","Bangladesh","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","144.45","Fc","Calculated data"
"ESB","Soil nutrient budget","14","Barbados","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","67.745","Fc","Calculated data"
"ESB","Soil nutrient budget","57","Belarus","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","69.6535","Fc","Calculated data"
"ESB","Soil nutrient budget","255","Belgium","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","198.4263","Fc","Calculated data"
"ESB","Soil nutrient budget","23","Belize","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","111.3011","Fc","Calculated data"
"ESB","Soil nutrient budget","53","Benin","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","0.0135","Fc","Calculated data"
"ESB","Soil nutrient budget","18","Bhutan","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","12.737","Fc","Calculated data"
"ESB","Soil nutrient budget","19","Bolivia (Plurinational State of)","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","3.1678","Fc","Calculated data"
"ESB","Soil nutrient budget","80","Bosnia and Herzegovina","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","76.4039","Fc","Calculated data"
"ESB","Soil nutrient budget","20","Botswana","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","80.8716","Fc","Calculated data"
"ESB","Soil nutrient budget","21","Brazil","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","81.4371","Fc","Calculated data"
"ESB","Soil nutrient budget","27","Bulgaria","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","91.985","Fc","Calculated data"
"ESB","Soil nutrient budget","233","Burkina Faso","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","9.5561","Fc","Calculated data"
"ESB","Soil nutrient budget","29","Burundi","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","6.5468","Fc","Calculated data"
"ESB","Soil nutrient budget","115","Cambodia","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","28.2755","Fc","Calculated data"
"ESB","Soil nutrient budget","32","Cameroon","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","5.9961","Fc","Calculated data"
"ESB","Soil nutrient budget","33","Canada","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","63.8798","Fc","Calculated data"
"ESB","Soil nutrient budget","37","Central African Republic","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","0.0458","Fc","Calculated data"
"ESB","Soil nutrient budget","40","Chile","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","151.3665","Fc","Calculated data"
"ESB","Soil nutrient budget","41","China, mainland","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","219.014","Fc","Calculated data"
"ESB","Soil nutrient budget","214","China, Taiwan Province of","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","195.1283","Fc","Calculated data"
"ESB","Soil nutrient budget","44","Colombia","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","61.9268","Fc","Calculated data"
"ESB","Soil nutrient budget","46","Congo","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","0.5302","Fc","Calculated data"
"ESB","Soil nutrient budget","47","Cook Islands","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","9.08","Fc","Calculated data"
"ESB","Soil nutrient budget","48","Costa Rica","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","156.5873","Fc","Calculated data"
"ESB","Soil nutrient budget","107","Côte d'Ivoire","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","4.1283","Fc","Calculated data"
"ESB","Soil nutrient budget","98","Croatia","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","110.6997","Fc","Calculated data"
"ESB","Soil nutrient budget","49","Cuba","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","19.0633","Fc","Calculated data"
"ESB","Soil nutrient budget","50","Cyprus","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","66.5609","Fc","Calculated data"
"ESB","Soil nutrient budget","167","Czechia","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","143.9418","Fc","Calculated data"
"ESB","Soil nutrient budget","250","Democratic Republic of the Congo","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","1.2063","Fc","Calculated data"
"ESB","Soil nutrient budget","54","Denmark","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","91.5264","Fc","Calculated data"
"ESB","Soil nutrient budget","55","Dominica","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","4.5043","Fc","Calculated data"
"ESB","Soil nutrient budget","56","Dominican Republic","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","57.2194","Fc","Calculated data"
"ESB","Soil nutrient budget","58","Ecuador","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","73.6121","Fc","Calculated data"
"ESB","Soil nutrient budget","59","Egypt","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","342.2603","Fc","Calculated data"
"ESB","Soil nutrient budget","60","El Salvador","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","69.3362","Fc","Calculated data"
"ESB","Soil nutrient budget","178","Eritrea","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","2.5641","Fc","Calculated data"
"ESB","Soil nutrient budget","63","Estonia","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","54.2631","Fc","Calculated data"
"ESB","Soil nutrient budget","238","Ethiopia","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","21.4723","Fc","Calculated data"
"ESB","Soil nutrient budget","66","Fiji","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","20.2588","Fc","Calculated data"
"ESB","Soil nutrient budget","67","Finland","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","61.8922","Fc","Calculated data"
"ESB","Soil nutrient budget","68","France","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","114.7712","Fc","Calculated data"
"ESB","Soil nutrient budget","70","French Polynesia","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","13.4612","Fc","Calculated data"
"ESB","Soil nutrient budget","74","Gabon","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","15.6487","Fc","Calculated data"
"ESB","Soil nutrient budget","75","Gambia","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","0.0842","Fc","Calculated data"
"ESB","Soil nutrient budget","73","Georgia","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","89.2536","Fc","Calculated data"
"ESB","Soil nutrient budget","79","Germany","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","125.0229","Fc","Calculated data"
"ESB","Soil nutrient budget","81","Ghana","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","11.0811","Fc","Calculated data"
"ESB","Soil nutrient budget","84","Greece","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","56.4366","Fc","Calculated data"
"ESB","Soil nutrient budget","89","Guatemala","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","85.1784","Fc","Calculated data"
"ESB","Soil nutrient budget","90","Guinea","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","6.1568","Fc","Calculated data"
"ESB","Soil nutrient budget","91","Guyana","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","0.9767","Fc","Calculated data"
"ESB","Soil nutrient budget","95","Honduras","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","69.3357","Fc","Calculated data"
"ESB","Soil nutrient budget","97","Hungary","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","83.2914","Fc","Calculated data"
"ESB","Soil nutrient budget","99","Iceland","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","107.9835","Fc","Calculated data"
"ESB","Soil nutrient budget","100","India","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","100.0968","Fc","Calculated data"
"ESB","Soil nutrient budget","101","Indonesia","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","57.5437","Fc","Calculated data"
"ESB","Soil nutrient budget","102","Iran (Islamic Republic of)","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","34.2849","Fc","Calculated data"
"ESB","Soil nutrient budget","103","Iraq","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","34.4644","Fc","Calculated data"
"ESB","Soil nutrient budget","105","Israel","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","103.9337","Fc","Calculated data"
"ESB","Soil nutrient budget","106","Italy","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","65.317","Fc","Calculated data"
"ESB","Soil nutrient budget","109","Jamaica","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","17.4788","Fc","Calculated data"
"ESB","Soil nutrient budget","110","Japan","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","87.5563","Fc","Calculated data"
"ESB","Soil nutrient budget","112","Jordan","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","75.7925","Fc","Calculated data"
"ESB","Soil nutrient budget","108","Kazakhstan","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","3.5214","Fc","Calculated data"
"ESB","Soil nutrient budget","114","Kenya","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","13.2371","Fc","Calculated data"
"ESB","Soil nutrient budget","113","Kyrgyzstan","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","6.8279","Fc","Calculated data"
"ESB","Soil nutrient budget","119","Latvia","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","59.6618","Fc","Calculated data"
"ESB","Soil nutrient budget","121","Lebanon","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2017","2017","kg/ha","88.7942","Fc","Calculated data"
