Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Ferti_Value,Flag,Flag Description
ESB,Soil nutrient budget,2,Afghanistan,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,5.8863,Fc,Calculated data
ESB,Soil nutrient budget,3,Albania,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,35.5877,Fc,Calculated data
ESB,Soil nutrient budget,4,Algeria,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,8.2423,Fc,Calculated data
ESB,Soil nutrient budget,7,Angola,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,4.2076,Fc,Calculated data
ESB,Soil nutrient budget,8,Antigua and Barbuda,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,1.718,Fc,Calculated data
ESB,Soil nutrient budget,9,Argentina,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,28.8199,Fc,Calculated data
ESB,Soil nutrient budget,1,Armenia,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,178.5344,Fc,Calculated data
ESB,Soil nutrient budget,10,Australia,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,45.0781,Fc,Calculated data
ESB,Soil nutrient budget,11,Austria,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,82.0268,Fc,Calculated data
ESB,Soil nutrient budget,52,Azerbaijan,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,50.5478,Fc,Calculated data
ESB,Soil nutrient budget,12,Bahamas,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,55.17,Fc,Calculated data
ESB,Soil nutrient budget,16,Bangladesh,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,154.6772,Fc,Calculated data
ESB,Soil nutrient budget,14,Barbados,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,28.7725,Fc,Calculated data
ESB,Soil nutrient budget,57,Belarus,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,69.5337,Fc,Calculated data
ESB,Soil nutrient budget,255,Belgium,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,195.0208,Fc,Calculated data
ESB,Soil nutrient budget,23,Belize,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,87.7408,Fc,Calculated data
