Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,RPR,Maize_Residue,Flag,Flag Description
QCL,Crops and livestock products,2,Afghanistan,5510,Production,56,Maize,2018,2018,tonnes,106670,0.824333333,87931.63667,,Official data
QCL,Crops and livestock products,3,Albania,5510,Production,56,Maize,2018,2018,tonnes,391104,0.824333333,322400.064,,Official data
QCL,Crops and livestock products,4,Algeria,5510,Production,56,Maize,2018,2018,tonnes,4142,0.824333333,3414.388667,,Official data
QCL,Crops and livestock products,7,Angola,5510,Production,56,Maize,2018,2018,tonnes,2765316,0.824333333,2279542.156,,Official data
QCL,Crops and livestock products,8,Antigua and Barbuda,5510,Production,56,Maize,2018,2018,tonnes,79,0.824333333,65.12233333,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,9,Argentina,5510,Production,56,Maize,2018,2018,tonnes,43462323,0.824333333,35827441.59,,Official data
QCL,Crops and livestock products,1,Armenia,5510,Production,56,Maize,2018,2018,tonnes,7615,0.824333333,6277.298333,,Official data
QCL,Crops and livestock products,10,Australia,5510,Production,56,Maize,2018,2018,tonnes,387240,0.824333333,319214.84,,Official data
QCL,Crops and livestock products,11,Austria,5510,Production,56,Maize,2018,2018,tonnes,2130340,0.824333333,1756110.273,,Official data
QCL,Crops and livestock products,52,Azerbaijan,5510,Production,56,Maize,2018,2018,tonnes,247939,0.824333333,204384.3823,,Official data
QCL,Crops and livestock products,12,Bahamas,5510,Production,56,Maize,2018,2018,tonnes,650,0.824333333,535.8166667,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,16,Bangladesh,5510,Production,56,Maize,2018,2018,tonnes,3288102,0.824333333,2710492.082,,Official data
QCL,Crops and livestock products,14,Barbados,5510,Production,56,Maize,2018,2018,tonnes,109,0.824333333,89.85233333,,Official data
QCL,Crops and livestock products,57,Belarus,5510,Production,56,Maize,2018,2018,tonnes,1137845,0.824333333,937963.5617,,Official data
QCL,Crops and livestock products,255,Belgium,5510,Production,56,Maize,2018,2018,tonnes,376550,0.824333333,310402.7167,,Official data
QCL,Crops and livestock products,23,Belize,5510,Production,56,Maize,2018,2018,tonnes,77766,0.824333333,64105.106,,Official data
QCL,Crops and livestock products,53,Benin,5510,Production,56,Maize,2018,2018,tonnes,1509758,0.824333333,1244543.845,,Official data
QCL,Crops and livestock products,18,Bhutan,5510,Production,56,Maize,2018,2018,tonnes,55254,0.824333333,45547.714,,Official data
QCL,Crops and livestock products,19,Bolivia (Plurinational State of),5510,Production,56,Maize,2018,2018,tonnes,1260926,0.824333333,1039423.333,,Official data
QCL,Crops and livestock products,80,Bosnia and Herzegovina,5510,Production,56,Maize,2018,2018,tonnes,1272339,0.824333333,1048831.449,,Official data
QCL,Crops and livestock products,20,Botswana,5510,Production,56,Maize,2018,2018,tonnes,24633,0.824333333,20305.803,,Official data
QCL,Crops and livestock products,21,Brazil,5510,Production,56,Maize,2018,2018,tonnes,82366531,0.824333333,67897477.05,,Official data
QCL,Crops and livestock products,27,Bulgaria,5510,Production,56,Maize,2018,2018,tonnes,3522500,0.824333333,2903714.167,,Official data
QCL,Crops and livestock products,233,Burkina Faso,5510,Production,56,Maize,2018,2018,tonnes,1700127,0.824333333,1401471.357,,Official data
