Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,2,Afghanistan,5510,Production,79,Millet,2018,2018,tonnes,4900,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,7,Angola,5510,Production,79,Millet,2018,2018,tonnes,69854,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,9,Argentina,5510,Production,79,Millet,2018,2018,tonnes,2254,,Official data
QCL,Crops and livestock products,10,Australia,5510,Production,79,Millet,2018,2018,tonnes,36276,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,52,Azerbaijan,5510,Production,79,Millet,2018,2018,tonnes,2792,,Official data
QCL,Crops and livestock products,12,Bahamas,5510,Production,79,Millet,2018,2018,tonnes,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5510,Production,79,Millet,2018,2018,tonnes,7811,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,57,Belarus,5510,Production,79,Millet,2018,2018,tonnes,19890,,Official data
QCL,Crops and livestock products,53,Benin,5510,Production,79,Millet,2018,2018,tonnes,26143,,Official data
QCL,Crops and livestock products,18,Bhutan,5510,Production,79,Millet,2018,2018,tonnes,1071,,Official data
QCL,Crops and livestock products,20,Botswana,5510,Production,79,Millet,2018,2018,tonnes,2462,,Official data
QCL,Crops and livestock products,233,Burkina Faso,5510,Production,79,Millet,2018,2018,tonnes,1189079,,Official data
QCL,Crops and livestock products,29,Burundi,5510,Production,79,Millet,2018,2018,tonnes,9891,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,32,Cameroon,5510,Production,79,Millet,2018,2018,tonnes,103186,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,37,Central African Republic,5510,Production,79,Millet,2018,2018,tonnes,10000,*,Unofficial figure
QCL,Crops and livestock products,39,Chad,5510,Production,79,Millet,2018,2018,tonnes,756616,,Official data
QCL,Crops and livestock products,351,China,5510,Production,79,Millet,2018,2018,tonnes,2342196,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QCL,Crops and livestock products,41,"China, mainland",5510,Production,79,Millet,2018,2018,tonnes,2341800,,Official data
QCL,Crops and livestock products,214,"China, Taiwan Province of",5510,Production,79,Millet,2018,2018,tonnes,396,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,46,Congo,5510,Production,79,Millet,2018,2018,tonnes,14197,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,107,Côte d'Ivoire,5510,Production,79,Millet,2018,2018,tonnes,65000,*,Unofficial figure
QCL,Crops and livestock products,116,Democratic People's Republic of Korea,5510,Production,79,Millet,2018,2018,tonnes,72657,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,250,Democratic Republic of the Congo,5510,Production,79,Millet,2018,2018,tonnes,40908,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,178,Eritrea,5510,Production,79,Millet,2018,2018,tonnes,25000,*,Unofficial figure
QCL,Crops and livestock products,238,Ethiopia,5510,Production,79,Millet,2018,2018,tonnes,1035630,,Official data
