Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,RPR,Rice_Residue,Flag,Flag Description
QCL,Crops and livestock products,2,Afghanistan,5510,Production,27,"Rice, paddy",2018,2018,tonnes,352177,1.012,356403.124,,Official data
QCL,Crops and livestock products,3,Albania,5510,Production,27,"Rice, paddy",2018,2018,tonnes,,1.012,0,M,Data not available
QCL,Crops and livestock products,4,Algeria,5510,Production,27,"Rice, paddy",2018,2018,tonnes,238,1.012,240.856,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,7,Angola,5510,Production,27,"Rice, paddy",2018,2018,tonnes,9699,1.012,9815.388,,Official data
QCL,Crops and livestock products,9,Argentina,5510,Production,27,"Rice, paddy",2018,2018,tonnes,1367968,1.012,1384383.616,,Official data
QCL,Crops and livestock products,1,Armenia,5510,Production,27,"Rice, paddy",2018,2018,tonnes,,1.012,0,M,Data not available
QCL,Crops and livestock products,10,Australia,5510,Production,27,"Rice, paddy",2018,2018,tonnes,635113,1.012,642734.356,,Official data
QCL,Crops and livestock products,52,Azerbaijan,5510,Production,27,"Rice, paddy",2018,2018,tonnes,11975,1.012,12118.7,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,27,"Rice, paddy",2018,2018,tonnes,54416000,1.012,55068992,,Official data
QCL,Crops and livestock products,255,Belgium,5510,Production,27,"Rice, paddy",2018,2018,tonnes,0,1.012,0,,Official data
QCL,Crops and livestock products,23,Belize,5510,Production,27,"Rice, paddy",2018,2018,tonnes,13375,1.012,13535.5,,Official data
QCL,Crops and livestock products,53,Benin,5510,Production,27,"Rice, paddy",2018,2018,tonnes,459313,1.012,464824.756,,Official data
QCL,Crops and livestock products,18,Bhutan,5510,Production,27,"Rice, paddy",2018,2018,tonnes,63890,1.012,64656.68,,Official data
QCL,Crops and livestock products,19,Bolivia (Plurinational State of),5510,Production,27,"Rice, paddy",2018,2018,tonnes,541157,1.012,547650.884,,Official data
