Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,RPR,Sorghum_Residue,Flag,Flag Description
QCL,Crops and livestock products,4,Algeria,5510,Production,83,Sorghum,2018,2018,tonnes,3622,1.75,6338.5,,Official data
QCL,Crops and livestock products,7,Angola,5510,Production,83,Sorghum,2018,2018,tonnes,39788,1.75,69629,,Official data
QCL,Crops and livestock products,9,Argentina,5510,Production,83,Sorghum,2018,2018,tonnes,1563445,1.75,2736028.75,,Official data
QCL,Crops and livestock products,10,Australia,5510,Production,83,Sorghum,2018,2018,tonnes,1257219,1.75,2200133.25,,Official data
QCL,Crops and livestock products,11,Austria,5510,Production,83,Sorghum,2018,2018,tonnes,27430,1.75,48002.5,,Official data
QCL,Crops and livestock products,52,Azerbaijan,5510,Production,83,Sorghum,2018,2018,tonnes,198,1.75,346.5,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,83,Sorghum,2018,2018,tonnes,87,1.75,152.25,,Official data
QCL,Crops and livestock products,23,Belize,5510,Production,83,Sorghum,2018,2018,tonnes,8200,1.75,14350,,Official data
QCL,Crops and livestock products,53,Benin,5510,Production,83,Sorghum,2018,2018,tonnes,319175,1.75,558556.25,,Official data
QCL,Crops and livestock products,19,Bolivia (Plurinational State of),5510,Production,83,Sorghum,2018,2018,tonnes,1023314,1.75,1790799.5,,Official data
QCL,Crops and livestock products,20,Botswana,5510,Production,83,Sorghum,2018,2018,tonnes,48621,1.75,85086.75,,Official data
QCL,Crops and livestock products,21,Brazil,5510,Production,83,Sorghum,2018,2018,tonnes,2281316,1.75,3992303,,Official data
QCL,Crops and livestock products,27,Bulgaria,5510,Production,83,Sorghum,2018,2018,tonnes,37010,1.75,64767.5,,Official data
QCL,Crops and livestock products,233,Burkina Faso,5510,Production,83,Sorghum,2018,2018,tonnes,1929834,1.75,3377209.5,,Official data
QCL,Crops and livestock products,29,Burundi,5510,Production,83,Sorghum,2018,2018,tonnes,28472,1.75,49826,,Official data
QCL,Crops and livestock products,32,Cameroon,5510,Production,83,Sorghum,2018,2018,tonnes,1200000,1.75,2100000,F,FAO estimate
QCL,Crops and livestock products,37,Central African Republic,5510,Production,83,Sorghum,2018,2018,tonnes,30000,1.75,52500,*,Unofficial figure
QCL,Crops and livestock products,39,Chad,5510,Production,83,Sorghum,2018,2018,tonnes,987558,1.75,1728226.5,,Official data
QCL,Crops and livestock products,351,China,5510,Production,83,Sorghum,2018,2018,tonnes,2911729,1.75,5095525.75,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QCL,Crops and livestock products,41,"China, mainland",5510,Production,83,Sorghum,2018,2018,tonnes,2909400,1.75,5091450,,Official data
QCL,Crops and livestock products,214,"China, Taiwan Province of",5510,Production,83,Sorghum,2018,2018,tonnes,2329,1.75,4075.75,,Official data
QCL,Crops and livestock products,44,Colombia,5510,Production,83,Sorghum,2018,2018,tonnes,4130,1.75,7227.5,,Official data
QCL,Crops and livestock products,107,Côte d'Ivoire,5510,Production,83,Sorghum,2018,2018,tonnes,70000,1.75,122500,*,Unofficial figure
QCL,Crops and livestock products,49,Cuba,5510,Production,83,Sorghum,2018,2018,tonnes,5595,1.75,9791.25,,Official data
QCL,Crops and livestock products,116,Democratic People's Republic of Korea,5510,Production,83,Sorghum,2018,2018,tonnes,36466,1.75,63815.5,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,250,Democratic Republic of the Congo,5510,Production,83,Sorghum,2018,2018,tonnes,5790,1.75,10132.5,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,56,Dominican Republic,5510,Production,83,Sorghum,2018,2018,tonnes,985,1.75,1723.75,,Official data
QCL,Crops and livestock products,58,Ecuador,5510,Production,83,Sorghum,2018,2018,tonnes,14213,1.75,24872.75,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,59,Egypt,5510,Production,83,Sorghum,2018,2018,tonnes,804851,1.75,1408489.25,,Official data
QCL,Crops and livestock products,60,El Salvador,5510,Production,83,Sorghum,2018,2018,tonnes,109290,1.75,191257.5,,Official data
QCL,Crops and livestock products,178,Eritrea,5510,Production,83,Sorghum,2018,2018,tonnes,140000,1.75,245000,*,Unofficial figure
