Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,RPR,Wheat_Residue,Flag,Flag Description
QCL,Crops and livestock products,2,Afghanistan,5510,Production,15,Wheat,2018,2018,tonnes,3613300,1.75,6323275,,Official data
QCL,Crops and livestock products,3,Albania,5510,Production,15,Wheat,2018,2018,tonnes,240294,1.75,420514.5,,Official data
QCL,Crops and livestock products,4,Algeria,5510,Production,15,Wheat,2018,2018,tonnes,3981219,1.75,6967133.25,,Official data
QCL,Crops and livestock products,7,Angola,5510,Production,15,Wheat,2018,2018,tonnes,2376,1.75,4158,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,9,Argentina,5510,Production,15,Wheat,2018,2018,tonnes,18518045,1.75,32406578.75,,Official data
QCL,Crops and livestock products,1,Armenia,5510,Production,15,Wheat,2018,2018,tonnes,187453,1.75,328042.75,,Official data
QCL,Crops and livestock products,10,Australia,5510,Production,15,Wheat,2018,2018,tonnes,20941134,1.75,36646984.5,,Official data
QCL,Crops and livestock products,11,Austria,5510,Production,15,Wheat,2018,2018,tonnes,1367060,1.75,2392355,,Official data
QCL,Crops and livestock products,52,Azerbaijan,5510,Production,15,Wheat,2018,2018,tonnes,1991683,1.75,3485445.25,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,15,Wheat,2018,2018,tonnes,1099373,1.75,1923902.75,,Official data
QCL,Crops and livestock products,57,Belarus,5510,Production,15,Wheat,2018,2018,tonnes,1814765,1.75,3175838.75,,Official data
QCL,Crops and livestock products,255,Belgium,5510,Production,15,Wheat,2018,2018,tonnes,1661860,1.75,2908255,,Official data
QCL,Crops and livestock products,18,Bhutan,5510,Production,15,Wheat,2018,2018,tonnes,1445,1.75,2528.75,,Official data
QCL,Crops and livestock products,19,Bolivia (Plurinational State of),5510,Production,15,Wheat,2018,2018,tonnes,301689,1.75,527955.75,,Official data
QCL,Crops and livestock products,80,Bosnia and Herzegovina,5510,Production,15,Wheat,2018,2018,tonnes,295810,1.75,517667.5,,Official data
QCL,Crops and livestock products,20,Botswana,5510,Production,15,Wheat,2018,2018,tonnes,1212,1.75,2121,,Official data
QCL,Crops and livestock products,21,Brazil,5510,Production,15,Wheat,2018,2018,tonnes,5469236,1.75,9571163,,Official data
QCL,Crops and livestock products,27,Bulgaria,5510,Production,15,Wheat,2018,2018,tonnes,5954520,1.75,10420410,,Official data
QCL,Crops and livestock products,29,Burundi,5510,Production,15,Wheat,2018,2018,tonnes,22751,1.75,39814.25,,Official data
QCL,Crops and livestock products,32,Cameroon,5510,Production,15,Wheat,2018,2018,tonnes,850,1.75,1487.5,F,FAO estimate
QCL,Crops and livestock products,33,Canada,5510,Production,15,Wheat,2018,2018,tonnes,32201100,1.75,56351925,,Official data
QCL,Crops and livestock products,39,Chad,5510,Production,15,Wheat,2018,2018,tonnes,1798,1.75,3146.5,,Official data
QCL,Crops and livestock products,40,Chile,5510,Production,15,Wheat,2018,2018,tonnes,1469003,1.75,2570755.25,,Official data
QCL,Crops and livestock products,351,China,5510,Production,15,Wheat,2018,2018,tonnes,131446596,1.75,230031543,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QCL,Crops and livestock products,41,"China, mainland",5510,Production,15,Wheat,2018,2018,tonnes,131440500,1.75,230020875,,Official data
