Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,RPR,Barley_Residue,Flag,Flag Description
QC,Crops,2,Afghanistan,5510,Production,44,Barley,2018,2018,tonnes,56781,1.75,99366.75,,Official data
QC,Crops,3,Albania,5510,Production,44,Barley,2018,2018,tonnes,9655,1.75,16896.25,,Official data
QC,Crops,4,Algeria,5510,Production,44,Barley,2018,2018,tonnes,1957327,1.75,3425322.25,,Official data
QC,Crops,9,Argentina,5510,Production,44,Barley,2018,2018,tonnes,5061069,1.75,8856870.75,,Official data
QC,Crops,1,Armenia,5510,Production,44,Barley,2018,2018,tonnes,124167,1.75,217292.25,,Official data
QC,Crops,10,Australia,5510,Production,44,Barley,2018,2018,tonnes,9253852,1.75,16194241,,Official data
QC,Crops,11,Austria,5510,Production,44,Barley,2018,2018,tonnes,691030,1.75,1209302.5,,Official data
QC,Crops,52,Azerbaijan,5510,Production,44,Barley,2018,2018,tonnes,916036,1.75,1603063,,Official data
QC,Crops,16,Bangladesh,5510,Production,44,Barley,2018,2018,tonnes,244,1.75,427,,Official data
QC,Crops,57,Belarus,5510,Production,44,Barley,2018,2018,tonnes,944341,1.75,1652596.75,,Official data
QC,Crops,255,Belgium,5510,Production,44,Barley,2018,2018,tonnes,324120,1.75,567210,,Official data
QC,Crops,18,Bhutan,5510,Production,44,Barley,2018,2018,tonnes,929,1.75,1625.75,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,44,Barley,2018,2018,tonnes,46620,1.75,81585,,Official data
QC,Crops,80,Bosnia and Herzegovina,5510,Production,44,Barley,2018,2018,tonnes,79060,1.75,138355,,Official data
QC,Crops,21,Brazil,5510,Production,44,Barley,2018,2018,tonnes,330374,1.75,578154.5,,Official data
QC,Crops,27,Bulgaria,5510,Production,44,Barley,2018,2018,tonnes,448700,1.75,785225,,Official data
QC,Crops,33,Canada,5510,Production,44,Barley,2018,2018,tonnes,8379700,1.75,14664475,,Official data
QC,Crops,40,Chile,5510,Production,44,Barley,2018,2018,tonnes,170652,1.75,298641,,Official data
QC,Crops,351,China,5510,Production,44,Barley,2018,2018,tonnes,956500,1.75,1673875,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,44,Colombia,5510,Production,44,Barley,2018,2018,tonnes,10004,1.75,17507,,Official data
QC,Crops,98,Croatia,5510,Production,44,Barley,2018,2018,tonnes,230170,1.75,402797.5,,Official data
QC,Crops,50,Cyprus,5510,Production,44,Barley,2018,2018,tonnes,7920,1.75,13860,,Official data
QC,Crops,167,Czechia,5510,Production,44,Barley,2018,2018,tonnes,1606030,1.75,2810552.5,,Official data
QC,Crops,116,Democratic People's Republic of Korea,5510,Production,44,Barley,2018,2018,tonnes,22000,1.75,38500,*,Unofficial figure
QC,Crops,250,Democratic Republic of the Congo,5510,Production,44,Barley,2018,2018,tonnes,1061,1.75,1856.75,Im,FAO data based on imputation methodology
QC,Crops,54,Denmark,5510,Production,44,Barley,2018,2018,tonnes,3445170,1.75,6029047.5,,Official data
QC,Crops,58,Ecuador,5510,Production,44,Barley,2018,2018,tonnes,13674,1.75,23929.5,,Official data
QC,Crops,59,Egypt,5510,Production,44,Barley,2018,2018,tonnes,82406,1.75,144210.5,,Official data
