Country Code,Barley_Cellulose_2030,Barley_Hemicellulose_2030,Barley_Lignin_2030,Barley_Cellulose_2040,Barley_Hemicellulose_2040,Barley_Lignin_2040,Maize_Cellulose_2030,Maize_Hemicellulose_2030,Maize_Lignin_2030,Maize_Cellulose_2040,Maize_Hemicellulose_2040,Maize_Lignin_2040,Rice_Cellulose_2030,Rice_Hemicellulose_2030,Rice_Lignin_2030,Rice_Cellulose_2040,Rice_Hemicellulose_2040,Rice_Lignin_2040,Sorghum_Cellulose_2030,Sorghum_Hemicellulose_2030,Sorghum_Lignin_2030,Sorghum_Cellulose_2040,Sorghum_Hemicellulose_2040,Sorghum_Lignin_2040,Wheat_Cellulose_2030,Wheat_Hemicellulose_2030,Wheat_Lignin_2030,Wheat_Cellulose_2040,Wheat_Hemicellulose_2040,Wheat_Lignin_2040,Protein-2030,Protein-2040
2,955417.6098,489360.2392,815600.3986,955417.6098,489360.2392,815600.3986,4504484.492,3118489.263,3811486.878,4491839.074,3109734.743,3800786.909,7308990.823,4872660.548,8324128.437,7312556.86,4875037.907,8328189.757,311325.7262,249060.5809,1515118.534,311299.0406,249039.2325,1514988.664,13891128.58,9870012.414,13160016.55,13891128.58,9870012.414,13160016.55,9954830.227,10081737.88
3,17873053.95,9154491.045,15257485.08,17873053.95,9154491.045,15257485.08,968641.8071,670598.1742,819619.9906,955996.3893,661843.6541,808920.0217,2476119.819,1650746.546,2820025.35,2472553.782,1648369.188,2815964.029,177671.636,142137.3088,864668.6284,177644.9505,142115.9604,864538.759,850157.733,604059.4419,805412.5892,850157.733,604059.4419,805412.5892,7498344.916,9923329.83
4,894250.4894,458030.7384,763384.5641,894250.4894,458030.7384,763384.5641,5690978.351,3939908.089,4815443.22,5678332.933,3931153.569,4804743.251,6747913.635,4498609.09,7685123.863,6751479.673,4500986.449,7689185.183,340242.7339,272194.1871,1655847.971,340216.0484,272172.8387,1655718.102,13393350.12,9516327.714,12688436.95,13393350.12,9516327.714,12688436.95,9976965.674,10095554.6
5,34057070.73,17443865.5,29073109.16,34057070.73,17443865.5,29073109.16,1136660.118,786918.5429,961789.3303,1124014.7,778164.0229,951089.3613,2088155.039,1392103.359,2378176.572,2091721.076,1394480.717,2382237.892,459175.0376,367340.0301,2234651.85,459148.3521,367318.6817,2234521.98,3571498.067,2537643.364,3383524.485,3571498.067,2537643.364,3383524.485,13854548.64,18483281.12
6,8897761.266,4557389.917,7595649.861,8897761.266,4557389.917,7595649.861,2368128.436,1639473.532,2003800.984,2355483.018,1630719.012,1993101.015,2411235.915,1607490.61,2746129.793,2407669.878,1605113.252,2742068.472,250966.7789,200773.4231,1221371.657,250940.0934,200752.0747,1221241.788,3581539.547,2544778.099,3393037.466,3581539.547,2544778.099,3393037.466,6122655.711,7327000.82
7,79036.02858,40481.8683,67469.78049,79036.02858,40481.8683,67469.78049,3751961.038,2597511.488,3174736.263,3739315.62,2588756.968,3164036.294,1400254.692,933503.1278,1594734.51,1403820.729,935880.4861,1598795.83,61994.07881,49595.26305,301704.5169,62020.76432,49616.61146,301834.3864,408781.2721,290449.8513,387266.4683,408781.2721,290449.8513,387266.4683,2058969.314,2066737.462
258,10567355.6,5412547.992,9020913.32,10567355.6,5412547.992,9020913.32,1001876.714,693606.9558,847741.8348,1014522.132,702361.4758,858441.8037,733271.912,488847.9414,835115.2332,729705.8747,486470.5831,831053.9129,91361.48296,73089.18637,444625.8837,91334.79745,73067.83796,444496.0143,363532.727,258299.5692,344399.4256,363532.727,258299.5692,344399.4256,4240015.666,5680156.78
8,10567492.17,5412617.939,9021029.898,10567492.17,5412617.939,9021029.898,1000945.108,692961.9978,846953.5528,1013590.526,701716.5178,857653.5218,731899.9177,487933.2785,833552.6841,728333.8804,485555.9203,829491.3638,91316.71764,73053.37411,444408.0258,91290.03213,73032.02571,444278.1564,364325.4515,258862.8208,345150.4277,364325.4515,258862.8208,345150.4277,4239460.457,5679620.143
9,3641042.266,1864924.087,3108206.812,3641042.266,1864924.087,3108206.812,9613968.206,6655824.143,8134896.175,9601322.788,6647069.623,8124196.206,10873580.09,7249053.394,12383799.55,10877146.13,7251430.752,12387860.87,473695.2283,378956.1826,2305316.778,473668.5428,378934.8342,2305186.908,19941145.15,14168708.4,18891611.2,19941145.15,14168708.4,18891611.2,16277122.96,16769275.57
1,8021026.603,4108330.699,6847217.832,8021026.603,4108330.699,6847217.832,698271.0995,483418.4535,590844.7765,685625.6817,474663.9335,580144.8076,1404857.376,936571.584,1599976.456,1401291.339,934194.2258,1595915.136,127730.1096,102184.0877,621619.8667,127756.7951,102205.4361,621749.7362,2140260.51,1520711.415,2027615.22,2140260.51,1520711.415,2027615.22,4247366.508,5332524.092
