,Cellulose_2030,Hemicellulose_2030,Lignin_2030,Cellulose_2040,Hemicellulose_2040,Lignin_2040,Country Code
0,955417.609784726,489360.2391580304,815600.3985967173,955417.609784726,489360.2391580304,815600.3985967173,2.0
1,17873053.945940454,9154491.045481697,15257485.075802827,17873053.945940454,9154491.045481697,15257485.075802827,3.0
2,894250.4893510602,458030.73844810406,763384.5640801734,894250.4893510602,458030.73844810406,763384.5640801734,4.0
3,34057070.73254244,17443865.497155882,29073109.16192647,34057070.73254244,17443865.497155882,29073109.16192647,5.0
4,8897761.266155556,4557389.916811382,7595649.861352304,8897761.266155556,4557389.916811382,7595649.861352304,6.0
5,79036.02857621382,40481.86829513391,67469.78049188985,79036.02857621382,40481.86829513391,67469.78049188985,7.0
6,10567355.603765048,5412547.992172342,9020913.320287235,10567355.603765048,5412547.992172342,9020913.320287235,258.0
7,10567492.166501999,5412617.938940049,9021029.898233414,10567492.166501999,5412617.938940049,9021029.898233414,8.0
8,3641042.2657188103,1864924.0873193906,3108206.8121989844,3641042.2657188103,1864924.0873193906,3108206.8121989844,9.0
9,8021026.6034794655,4108330.6993431407,6847217.832238568,8021026.6034794655,4108330.6993431407,6847217.832238568,1.0
10,9790016.254139364,5014398.569193332,8357330.948655554,9790016.254139364,5014398.569193332,8357330.948655554,22.0
11,3484720.4757089904,1784856.829021678,2974761.3817027966,3484720.4757089904,1784856.829021678,2974761.3817027966,10.0
12,10967878.233342381,5617693.729272927,9362822.882121546,10967878.233342381,5617693.729272927,9362822.882121546,11.0
13,6439374.584892696,3298216.2507986976,5497027.084664497,6439374.584892696,3298216.2507986976,5497027.084664497,52.0
14,15720405.261259837,8051914.889913575,13419858.149855958,15720405.261259837,8051914.889913575,13419858.149855958,12.0
15,1654719.6812356028,847539.3489255528,1412565.5815425878,1654719.6812356028,847539.3489255528,1412565.5815425878,13.0
16,19798260.367930736,10140572.383574279,16900953.9726238,19798260.367930736,10140572.383574279,16900953.9726238,16.0
17,30090021.862921428,15411962.417593902,25686604.029323168,30090021.862921428,15411962.417593902,25686604.029323168,14.0
18,9671970.748035971,4953936.236798912,8256560.394664854,9671970.748035971,4953936.236798912,8256560.394664854,57.0
19,11285467.832963394,5780361.5729812505,9633935.95496875,11285467.832963394,5780361.5729812505,9633935.95496875,255.0
20,18379796.960523374,9414042.345633924,15690070.57605654,18379796.960523374,9414042.345633924,15690070.57605654,23.0
21,13556063.950891877,6943349.828505596,11572249.714175994,13556063.950891877,6943349.828505596,11572249.714175994,53.0
22,10666904.056109399,5463536.223860911,9105893.706434852,10666904.056109399,5463536.223860911,9105893.706434852,17.0
23,17276594.133768495,8848987.23924728,14748312.065412132,17276594.133768495,8848987.23924728,14748312.065412132,18.0
24,1954527.381733488,1001099.3906439818,1668498.984406636,1954527.381733488,1001099.3906439818,1668498.984406636,19.0
25,16112031.87810619,8252504.132688537,13754173.554480895,16112031.87810619,8252504.132688537,13754173.554480895,80.0
26,3340911.823101214,1711198.7386615977,2851997.897769329,3340911.823101214,1711198.7386615977,2851997.897769329,20.0
27,8038103.917080047,4117077.61606539,6861796.02677565,8038103.917080047,4117077.61606539,6861796.02677565,21.0
28,11933915.996721642,6112493.5592964515,10187489.265494084,11933915.996721642,6112493.5592964515,10187489.265494084,239.0
29,23700615.39848813,12139339.59434758,20232232.657245968,23700615.39848813,12139339.59434758,20232232.657245968,26.0
30,10040357.808707716,5142622.292264927,8571037.15377488,10040357.808707716,5142622.292264927,8571037.15377488,27.0
31,7734280.909409763,3961460.9536001226,6602434.922666871,7734280.909409763,3961460.9536001226,6602434.922666871,233.0
32,21138104.324180935,10826833.922141453,18044723.203569088,21138104.324180935,10826833.922141453,18044723.203569088,29.0
33,2967197.804929828,1519784.2415494241,2532973.735915707,2967197.804929828,1519784.2415494241,2532973.735915707,35.0
34,18723775.686262883,9590226.571012696,15983710.951687828,18723775.686262883,9590226.571012696,15983710.951687828,115.0
35,10114107.087005958,5180396.3128567105,8633993.854761183,10114107.087005958,5180396.3128567105,8633993.854761183,32.0
36,7374438.900054298,3777151.6317351284,6295252.719558547,7374438.900054298,3777151.6317351284,6295252.719558547,33.0
37,14949910.747656368,7657271.358555701,12762118.930926168,14949910.747656368,7657271.358555701,12762118.930926168,36.0
38,17112189.601594124,8764780.039840892,14607966.733068153,17112189.601594124,8764780.039840892,14607966.733068153,37.0
39,290558.0778959601,148822.43014183323,248037.38356972203,290558.0778959601,148822.43014183323,248037.38356972203,39.0
40,2542095.3844558625,1302048.8554530027,2170081.4257550044,2542095.3844558625,1302048.8554530027,2170081.4257550044,40.0
41,5578357.74799594,2857207.627022311,4762012.711703851,5578357.74799594,2857207.627022311,4762012.711703851,351.0
42,16939395.723008297,8676275.8581262,14460459.76354367,16939395.723008297,8676275.8581262,14460459.76354367,96.0
43,21486630.508398313,11005347.333569868,18342245.555949777,21486630.508398313,11005347.333569868,18342245.555949777,128.0
44,4465526.036053753,2287220.652612898,3812034.421021497,4465526.036053753,2287220.652612898,3812034.421021497,44.0
45,51987786.80634135,26627890.80324801,44379818.005413346,51987786.80634135,26627890.80324801,44379818.005413346,45.0
46,24437429.041038424,12516731.947848948,20861219.91308158,24437429.041038424,12516731.947848948,20861219.91308158,46.0
47,45409629.27787198,23258590.60573931,38764317.67623218,45409629.27787198,23258590.60573931,38764317.67623218,47.0
48,28880193.177572697,14792294.066561626,24653823.444269378,28880193.177572697,14792294.066561626,24653823.444269378,48.0
49,16583844.011684885,8494164.005984941,14156940.009974902,16583844.011684885,8494164.005984941,14156940.009974902,107.0
50,12801731.963416884,6556984.664189136,10928307.77364856,12801731.963416884,6556984.664189136,10928307.77364856,98.0
51,8766863.750412568,4490344.847772292,7483908.079620486,8766863.750412568,4490344.847772292,7483908.079620486,49.0
52,8308326.183390797,4255484.142712359,7092473.571187266,8308326.183390797,4255484.142712359,7092473.571187266,50.0
53,8902559.716369381,4559847.6596038295,7599746.099339715,8902559.716369381,4559847.6596038295,7599746.099339715,167.0
54,14168793.276482975,7257186.800149817,12095311.333583027,14168793.276482975,7257186.800149817,12095311.333583027,116.0
55,14434170.971034577,7393111.960773808,12321853.267956346,14434170.971034577,7393111.960773808,12321853.267956346,250.0
56,8917584.617541531,4567543.340692004,7612572.234486673,8917584.617541531,4567543.340692004,7612572.234486673,54.0
57,1493360.7402692277,764892.0864793605,1274820.1441322675,1493360.7402692277,764892.0864793605,1274820.1441322675,72.0
58,10569228.350369927,5413507.203848011,9022512.006413352,10569228.350369927,5413507.203848011,9022512.006413352,55.0
59,12509913.084129296,6407516.457724761,10679194.096207935,12509913.084129296,6407516.457724761,10679194.096207935,56.0
60,3331494.954880492,1706375.4646948862,2843959.1078248103,3331494.954880492,1706375.4646948862,2843959.1078248103,58.0
61,1469012.3882177023,752420.9793310183,1254034.9655516972,1469012.3882177023,752420.9793310183,1254034.9655516972,59.0
62,18355534.219248105,9401615.087907566,15669358.479845943,18355534.219248105,9401615.087907566,15669358.479845943,60.0
63,27488046.479001634,14079243.318513032,23465405.530855052,27488046.479001634,14079243.318513032,23465405.530855052,61.0
64,804656.2753984202,412141.0191065079,686901.6985108465,804656.2753984202,412141.0191065079,686901.6985108465,178.0
65,4129927.5570669267,2115328.7487415965,3525547.9145693276,4129927.5570669267,2115328.7487415965,3525547.9145693276,63.0
66,12171926.083303468,6234401.16461885,10390668.607698083,12171926.083303468,6234401.16461885,10390668.607698083,209.0
