,Cellulose_2030,Hemicellulose_2030,Lignin_2030,Cellulose_2040,Hemicellulose_2040,Lignin_2040,Country Code
0,4504484.491690668,3118489.2634781552,3811486.8775844118,4491839.07387648,3109734.743452948,3800786.908664714,2.0
1,968641.8071135213,670598.1741555147,819619.990634518,955996.3892993336,661843.6541303078,808920.0217148208,3.0
2,5690978.351312719,3939908.089370344,4815443.220341532,5678332.933498532,3931153.5693451376,4804743.251421835,4.0
3,1136660.1175824634,786918.5429417056,961789.3302620845,1124014.699768275,778164.0229164982,951089.3613423867,5.0
4,2368128.435713626,1639473.5324171258,2003800.984065376,2355483.0178994383,1630719.0123919188,1993101.0151456785,6.0
5,3751961.0381730935,2597511.4879659875,3174736.2630695403,3739315.620358906,2588756.9679407813,3164036.294149844,7.0
6,1001876.7138687709,693606.9557553029,847741.8348120368,1014522.1316829585,702361.4757805098,858441.8037317342,258.0
7,1000945.1079034081,692961.9977792826,846953.5528413453,1013590.5257175958,701716.5178044895,857653.5217610426,8.0
8,9613968.206246281,6655824.142785886,8134896.174516084,9601322.788432091,6647069.62276068,8124196.2055963855,9.0
9,698271.0995011787,483418.453500816,590844.7765009974,685625.6816869925,474663.93347561016,580144.8075813013,1.0
10,316821.21891246823,219337.76693940107,268079.49292593467,329466.6367266552,228092.28696460743,278779.4618456313,22.0
11,20367914.77761331,14100864.076809214,17234389.427211262,20355269.35979912,14092109.556784008,17223689.458291564,10.0
12,1405522.7696166693,973054.2251192325,1189288.4973679509,1392877.3518024823,964299.7050940262,1178588.528448254,11.0
13,382915.4764089512,265095.32982158166,324005.40311526647,370270.0585947628,256340.80979637426,313305.43419556855,52.0
14,1491888.9949572934,1032846.2272781262,1262367.6111177097,1504534.4127714804,1041600.7473033326,1273067.5800374064,12.0
15,1997474.9109292203,1382867.2460279218,1690171.078478571,2010120.3287434073,1391621.7660531283,1700871.0473982678,13.0
16,630584.173459442,436558.27393345983,533571.2236964509,643229.591273629,445312.7939586662,544271.1926161476,16.0
17,1284683.779395545,889396.4626584542,1087040.1210269995,1297329.197209732,898150.9826836606,1097740.0899466963,14.0
18,154382.30179970208,106880.05509210144,130631.17844590175,141736.8839855151,98125.53506689507,119931.20952620509,57.0
19,738442.2968609865,511229.2824422214,624835.7896516039,751087.7146751734,519983.8024674278,635535.7585713007,255.0
20,283909.5924120674,196552.79474681593,240231.19357944166,296555.0102262544,205307.31477202228,250931.16249913833,23.0
21,629467.6574798457,435785.3013322009,532626.4794060233,642113.0752940327,444539.8213574072,543326.4483257199,53.0
22,990333.6198364065,685615.5829636662,837974.6014000364,1002979.0376505943,694370.102988873,848674.5703197336,17.0
23,3984030.4227356473,2758174.908047756,3371102.6653917017,3971385.0049214605,2749420.3880225495,3360402.696472005,18.0
24,3669747.678091733,2540594.5463711997,3105171.112231466,3657102.2602775455,2531840.0263459934,3094471.1433117692,19.0
25,768600.7448903212,532108.2080009916,650354.4764456564,755955.3270761343,523353.68797578523,639654.5075259598,80.0
26,311506.23533798725,215658.16292629886,263582.19913214305,298860.8175238003,206903.6429010925,252882.2302124464,20.0
27,25175094.365375716,17428911.48372165,21302002.924548686,25162448.94756153,17420156.963696443,21291302.955628987,21.0
28,1270602.598172003,879647.9525806175,1075125.27537631,1283248.01598619,888402.4726058238,1085825.2442960069,239.0
29,608330.3573872187,421151.7858834592,514741.071635339,595684.9395730319,412397.2658582528,504041.1027156423,26.0
30,502052.2935948906,347574.66479646275,424813.4791956767,489406.8757807022,338820.1447712554,414113.5102759788,27.0
31,509498.7295382641,352729.8896803367,431114.3096093004,522144.1473524525,361484.40970554407,441814.2785289983,233.0
32,457207.92622392694,316528.5643088725,386868.2452663997,469853.3440381139,325283.0843340788,397568.2141860964,29.0
33,1973277.6647145029,1366115.3063408097,1669696.4855276563,1985923.0825286899,1374869.826366016,1680396.4544473528,35.0
34,278295.3529653712,192666.01359141083,235480.68327839102,290940.77077955817,201420.53361661718,246180.6521980877,115.0
35,2467212.0392620317,1708069.8733352527,2087640.9562986423,2454566.621447845,1699315.3533100465,2076940.9873789456,32.0
36,28323307.627873864,19608443.742374215,23965875.68512404,28310662.210059676,19599689.222349007,23955175.71620434,33.0
37,897449.3670638213,621311.1002749532,759380.2336693873,910094.7848780083,630065.6203001596,770080.2025890839,36.0
38,1422034.6473971577,984485.5251211092,1203260.0862591334,1409389.2295829707,975731.0050959028,1192560.117339437,37.0
