,Cellulose_2030,Hemicellulose_2030,Lignin_2030,Cellulose_2040,Hemicellulose_2040,Lignin_2040,Country Code
0,7308990.822589637,4872660.548393091,8324128.4368381975,7312556.859925398,4875037.906616932,8328189.757137259,2.0
1,2476119.8192451997,1650746.5461634665,2820025.349695922,2472553.781909439,1648369.187939626,2815964.029396861,3.0
2,6747913.635450272,4498609.090300181,7685123.862596143,6751479.67278603,4500986.448524021,7689185.182895201,4.0
3,2088155.0388398275,1392103.3592265518,2378176.572012026,2091721.0761755898,1394480.7174503931,2382237.8923110883,5.0
4,2411235.9154275362,1607490.6102850244,2746129.7925702496,2407669.8780917767,1605113.2520611845,2742068.4722711905,6.0
5,1400254.6917406358,933503.1278270906,1594734.5100379463,1403820.7290763913,935880.4860509277,1598795.8303370012,7.0
6,733271.9120477379,488847.94136515853,835115.2331654791,729705.8747119782,486470.5831413189,831053.9128664196,258.0
7,731899.9177474766,487933.27849831776,833552.6841012927,728333.8804117171,485555.92027447803,829491.3638022334,8.0
8,10873580.090257647,7249053.393505098,12383799.547237875,10877146.127593407,7251430.751728939,12387860.867536936,9.0
9,1404857.3759799,936571.5839866,1599976.4559771083,1401291.3386441404,934194.2257627603,1595915.1356780487,1.0
10,2523866.52904295,1682577.6860286333,2874403.546965582,2527432.566378708,1684955.044252472,2878464.8672646396,22.0
11,2545343.872087148,1696895.914724765,2898863.8543214737,2548909.9094229033,1699273.2729486022,2902925.1746205287,10.0
12,132397.55999074184,88265.0399938279,150786.109989456,128831.5226549823,85887.6817699882,146724.78969039652,11.0
13,1664725.9325478093,1109817.2883652062,1895937.867623894,1668291.9698835716,1112194.6465890477,1899999.1879229564,52.0
14,632151.7595074658,421434.50633831054,719950.6149946138,628585.7221717103,419057.14811447356,715889.2946955591,12.0
15,581309.2405652793,387539.49371018616,662046.6350882347,577743.2032295157,385162.13548634376,657985.3147891706,13.0
16,2129137.348895517,1419424.899263678,2424850.8695754497,2132703.386231278,1421802.2574875185,2428912.1898745107,16.0
17,320837.6618430252,213891.7745620168,365398.448210112,317271.62450726697,211514.41633817798,361337.12791105406,14.0
18,834769.1235821638,556512.7490547759,950709.2796352421,838335.1609179234,558890.1072786156,954770.5999343016,57.0
19,246881.89269735536,164587.92846490355,281171.0444608769,243315.85536159982,162210.57024106654,277109.724161822,255.0
20,873517.5730778179,582345.0487185452,994839.4582275148,877083.6104135734,584722.4069423823,998900.7785265697,23.0
21,417087.4381651832,278058.29211012216,475016.2490214586,413521.4008294277,275680.9338862851,470954.9287224037,53.0
22,729651.913879587,486434.609253058,830992.457473974,726085.8765438288,484057.2510292192,826931.1371749161,17.0
23,1744499.433285779,1162999.6221905195,1986791.0212421373,1740933.3959500182,1160622.2639666789,1982729.7009430763,18.0
24,18669182.762196604,12446121.841464402,21262124.812501684,18672748.799532354,12448499.199688237,21266186.13280074,19.0
25,1821217.5672046826,1214145.0448031218,2074164.4515386664,1817651.5298689217,1211767.6865792812,2070103.1312396054,80.0
26,122616.32788420205,81744.21858946803,139646.37342367455,126182.36521996312,84121.57681330874,143707.69372273577,20.0
27,10938567.623093246,7292378.415395496,12457813.12630064,10942133.660429003,7294755.773619336,12461874.446599698,21.0
28,703638.5103263177,469092.3402175452,801366.081204973,700072.4729905569,466714.9819937046,797304.760905912,239.0
29,3842086.4534294517,2561390.968952968,4375709.57196132,3845652.4907652102,2563768.3271768065,4379770.892260378,26.0
30,1507521.5085517648,1005014.3390345097,1716899.4958506208,1511087.5458875257,1007391.6972583503,1720960.8161496818,27.0
31,98912.21698729332,65941.47799152888,112650.02490219517,102478.25432304885,68318.8362153659,116711.34520125008,233.0
32,81532.82369175089,54355.2157945006,92856.82698227184,85098.86102750641,56732.57401833761,96918.14728132675,29.0
33,959789.2744118542,639859.5162745694,1093093.3403023896,956223.2370760906,637482.1580507271,1089032.0200033255,35.0
34,1813693.3061732622,1209128.8707821746,2065595.1542528819,1817259.3435090177,1211506.2290060117,2069656.4745519366,115.0
35,305677.7519112385,203785.16794082566,348132.99523224385,309243.7892469967,206162.52616466448,352194.3155313018,32.0
36,10117962.423258362,6745308.282172241,11523234.982044246,10121528.460594125,6747685.640396084,11527296.302343309,33.0
37,581686.7775074657,387791.1850049771,662476.6077168359,578120.7401717101,385413.8267811401,658415.287417781,36.0
38,745656.5344648383,497104.3563098922,849219.9420293992,749222.5718005965,499481.71453373105,853281.2623284572,37.0
39,5513822.697015398,3675881.7980102655,6279631.404934203,5517388.734351156,3678259.156234104,6283692.7252332615,39.0
40,636326.0513187395,424217.36754582636,724704.6695574534,632760.0139829786,421840.00932198577,720643.3492583924,40.0
41,22684590.142443217,15123060.094962144,25835227.662226997,22688156.179778975,15125437.453185983,25839288.982526056,351.0
42,664511.5184883095,443007.6789922063,756804.784945019,660945.4811525512,440630.3207683675,752743.4646459612,96.0
43,91076.14054293986,60717.427028626575,103725.60450723706,87510.10320717897,58340.06880478598,99664.28420817605,128.0
44,659241.5677786845,439494.378519123,750802.8966368352,655675.530442921,437117.0202952807,746741.5763377711,44.0
45,138853.05068446966,92568.70045631312,158138.19661286823,142419.08802023056,94946.05868015371,162199.51691192924,45.0
46,297459.2976610955,198306.19844073034,338773.0890029143,301025.3349968564,200683.55666457093,342834.40930197533,46.0
47,1538374.3732528507,1025582.9155019005,1752037.48064908,1541940.4105886128,1027960.2737257419,1756098.8009481423,47.0
48,2911477.3534830813,1940984.9023220541,3315849.208133509,2915043.390818842,1943362.2605458947,3319910.52843257,48.0
49,164258.50027539913,109505.66685026608,187072.18086920455,167824.5376111627,111883.02507410846,191133.50116826862,107.0
50,1240463.3320437951,826975.5546958635,1412749.9059387667,1236897.2947080357,824598.1964720237,1408688.5856397073,98.0
51,352563.2324240794,235042.15494938625,401530.34803853487,348997.19508832385,232664.79672554924,397469.02773947996,49.0
52,580963.0728181531,387308.71521210205,661652.388487341,577397.0354823908,384931.3569882605,657591.0681882785,50.0
53,1189446.6863894654,792964.457592977,1354647.6150546689,1185880.6490537059,790587.0993691372,1350586.2947556095,167.0
54,2107077.416423926,1404718.277615951,2399727.057593916,2110643.4537596856,1407095.6358397906,2403788.377892975,116.0
55,5862541.894355102,3908361.2629034016,6676783.824126645,5866107.931690856,3910738.621127237,6680845.144425697,250.0
56,863383.8007021773,575589.2004681182,983298.2174663687,859817.7633664191,573211.8422442795,979236.8971673107,54.0
57,1283133.5966824654,855422.3977883103,1461346.5962216968,1279567.559346702,853045.039564468,1457285.2759226328,72.0
58,730641.5797797816,487094.38651985436,832119.5769714179,727075.542444022,484717.0282960147,828058.2566723584,55.0
59,1470259.3962429855,980172.930828657,1674462.0901656223,1473825.4335787464,982550.2890524976,1678523.4104646833,56.0
60,6479298.715208188,4319532.476805459,7379201.314542658,6482864.752543946,4321909.8350292975,7383262.634841716,58.0
61,1134178.2973593422,756118.864906228,1291703.060881473,1130612.260023584,753741.5066823893,1287641.740582415,59.0
62,331018.91397603764,220679.2759840251,376993.7631393762,327452.8766402794,218301.9177601863,372932.44284031825,60.0
63,446480.1392977941,297653.4261985294,508491.26975582103,442914.1019620386,295276.0679746924,504429.94945676613,61.0
