,Cellulose_2030,Hemicellulose_2030,Lignin_2030,Cellulose_2040,Hemicellulose_2040,Lignin_2040,Country Code
0,13891128.582873922,9870012.414147262,13160016.552196348,13891128.582873922,9870012.414147262,13160016.552196348,2.0
1,850157.7330172855,604059.4418807029,805412.5891742704,850157.7330172855,604059.4418807029,805412.5891742704,3.0
2,13393350.116634909,9516327.71445112,12688436.95260149,13393350.116634909,9516327.71445112,12688436.95260149,4.0
3,3571498.0674297106,2537643.363700058,3383524.48493341,3571498.0674297106,2537643.363700058,3383524.48493341,5.0
4,3581539.5472106505,2544778.0993338833,3393037.465778511,3581539.5472106505,2544778.0993338833,3393037.465778511,6.0
5,408781.27213878033,290449.8512565018,387266.46834200236,408781.27213878033,290449.8512565018,387266.46834200236,7.0
6,363532.7269722529,258299.5691644955,344399.4255526606,363532.7269722529,258299.5691644955,344399.4255526606,258.0
7,364325.4514628661,258862.82077624695,345150.4277016626,364325.4514628661,258862.82077624695,345150.4277016626,8.0
8,19941145.15185221,14168708.397368675,18891611.196491566,19941145.15185221,14168708.397368675,18891611.196491566,9.0
9,2140260.5100102928,1520711.4150073132,2027615.2200097507,2140260.5100102928,1520711.4150073132,2027615.2200097507,1.0
10,257843.83933436027,183204.833211256,244273.1109483413,257843.83933436027,183204.833211256,244273.1109483413,22.0
11,22026654.998548716,15650518.025284614,20867357.36704615,22026654.998548716,15650518.025284614,20867357.36704615,10.0
12,1788622.2319862396,1270863.1648323282,1694484.2197764374,1788622.2319862396,1270863.1648323282,1694484.2197764374,11.0
13,4454107.055348542,3164760.276168701,4219680.368224934,4454107.055348542,3164760.276168701,4219680.368224934,52.0
14,240713.2549390773,171033.10219355492,228044.1362580732,240713.2549390773,171033.10219355492,228044.1362580732,12.0
15,494407.74521260284,351289.71370369155,468386.2849382553,494407.74521260284,351289.71370369155,468386.2849382553,13.0
16,587103.6497859901,417152.593268993,556203.4576919907,587103.6497859901,417152.593268993,556203.4576919907,16.0
17,231778.87482595196,164684.99000791323,219579.98667721765,231778.87482595196,164684.99000791323,219579.98667721765,14.0
18,1157315.1671226989,822302.8819029703,1096403.8425372934,1157315.1671226989,822302.8819029703,1096403.8425372934,57.0
19,2242634.65019579,1593450.9356654298,2124601.247553906,2242634.65019579,1593450.9356654298,2124601.247553906,255.0
20,1368647.6201813414,972460.1511814795,1296613.534908639,1368647.6201813414,972460.1511814795,1296613.534908639,23.0
21,1019757.5737479742,724564.5918735607,966086.1224980808,1019757.5737479742,724564.5918735607,966086.1224980808,53.0
22,555123.8554240429,394430.10780129366,525906.8104017248,555123.8554240429,394430.10780129366,525906.8104017248,17.0
23,7453931.6741764415,5296214.610599051,7061619.480798733,7453931.6741764415,5296214.610599051,7061619.480798733,18.0
